prefix	lemma	gloss	context	id	source
seq2seq_def	escuro	pouco distinto: voz escura.	<def> escuro </def> 	pt.defmod.62728	Dicio
seq2seq_def	plebeia	aquela que pertencia à plebe, camada popular da sociedade, que trabalhava no comércio ou no cultivo de produtos agrícolas.	<def> plebeia </def> 	pt.defmod.62729	Dicio
seq2seq_def	repelir	rejeitar com aspereza: repelir um comportamento, uma ação.	<def> repelir </def> 	pt.defmod.62730	Dicio
seq2seq_def	despiciendo	desdenhável; que merece ou deve ser tratado com desprezo.	<def> despiciendo </def> 	pt.defmod.62731	Dicio
seq2seq_def	apático	[por extensão] sem ânimo nem energia; desanimado: funcionário apático.	<def> apático </def> 	pt.defmod.62732	Dicio
seq2seq_def	cogitar	meditar . 	<def> cogitar </def> 	pt.defmod.62733	Wikcionário
seq2seq_def	em demanda	que está procurando alguma coisa; em busca de.	<def> em demanda </def> 	pt.defmod.62734	Dicio
seq2seq_def	pressão	esporas . 	<def> pressão </def> 	pt.defmod.62735	Wikcionário
seq2seq_def	lenhador	aquele que vai colher lenha nos matos.	<def> lenhador </def> 	pt.defmod.62736	Dicio
seq2seq_def	introspecção	observação e análise dos processos da própria mente . 	<def> introspecção </def> 	pt.defmod.62737	Wikcionário
seq2seq_def	mobilizar	movimentar, em geral no contexto de preparar uma ação militar . 	<def> mobilizar </def> 	pt.defmod.62738	Wikcionário
seq2seq_def	inter-racial	observado entre pessoas ou membros de raças diferentes; que se relaciona ou se efetiva a partir da mistura de raças: no brasil, um país tão miscigenado, é preciso acabar com o conflito inter-racial.	<def> inter-racial </def> 	pt.defmod.62739	Dicio
seq2seq_def	títere	[figurado] aquele que faz graça; palhaço, bufão.	<def> títere </def> 	pt.defmod.62740	Dicio
seq2seq_def	justiceiro	que ou quem se empenha na aplicação da justiça.	<def> justiceiro </def> 	pt.defmod.62741	Dicio
seq2seq_def	letivo	em que há lições ou estão abertas as aulas . 	<def> letivo </def> 	pt.defmod.62742	Wikcionário
seq2seq_def	meiga	suave; que ocasiona sensações agradáveis.	<def> meiga </def> 	pt.defmod.62743	Dicio
seq2seq_def	bramar	berrar, tratando-se especialmente do veado, do tigre, da onça.	<def> bramar </def> 	pt.defmod.62744	Dicio
seq2seq_def	rochedo	grande massa de rocha escarpada; roca batida do mar; penha, penhasco.	<def> rochedo </def> 	pt.defmod.62745	Dicio
seq2seq_def	raia	ranhura no interior de uma arma de fogo.	<def> raia </def> 	pt.defmod.62746	Dicio
seq2seq_def	manchar	sujar, poluir . 	<def> manchar </def> 	pt.defmod.62747	Wikcionário
seq2seq_def	leve	[militar] de tamanho, peso ou com outras características inferiores, quando comparado a outros do mesmo tipo.	<def> leve </def> 	pt.defmod.62748	Dicio
seq2seq_def	propina	suborno; valor em dinheiro oferecido ou pago a alguém para que esta pessoa pratique atos ilegais; quantia em dinheiro oferecida em troca de favores.	<def> propina </def> 	pt.defmod.62749	Dicio
seq2seq_def	acertado	alcançado; que se conseguiu atingir: tinha acertado os números da loteria.	<def> acertado </def> 	pt.defmod.62750	Dicio
seq2seq_def	mamilo	[anatomia] mamilo . 	<def> mamilo </def> 	pt.defmod.62751	Wikcionário
seq2seq_def	pisada de tomate	cometimento de erro, falha, falta, incorreção . 	<def> pisada de tomate </def> 	pt.defmod.62752	Wikcionário
seq2seq_def	marulho	marulho, mar agitado . 	<def> marulho </def> 	pt.defmod.62753	Wikcionário
seq2seq_def	balneário	relativo a banho.	<def> balneário </def> 	pt.defmod.62754	Dicio
seq2seq_def	senário	versificação. diz-se do verso latino formado por seis pés jâmbicos dispostos de modo regular.	<def> senário </def> 	pt.defmod.62755	Dicio
seq2seq_def	bico	[brasil] biscate, pequenos ganhos eventuais.	<def> bico </def> 	pt.defmod.62756	Dicio
seq2seq_def	retenção	capacidade de manter na memória, durante um tempo relativamente longo, impressões registradas; retentiva.	<def> retenção </def> 	pt.defmod.62757	Dicio
seq2seq_def	fiã	fiã corona, inform: fio fino que carrega eletrostaticamente as partículas de toner numa impressora a laser, quando estas passam pelo cilindro.	<def> fiã </def> 	pt.defmod.62758	Dicio
seq2seq_def	declinado	recusado; que se recusou: convite declinado.	<def> declinado </def> 	pt.defmod.62759	Dicio
seq2seq_def	urinação	ação de urinar.	<def> urinação </def> 	pt.defmod.62760	Dicio
seq2seq_def	blague	piada, gracejo.	<def> blague </def> 	pt.defmod.62761	Dicio
seq2seq_def	são	condição do que está completo, perfeito.	<def> são </def> 	pt.defmod.62762	Dicio
seq2seq_def	querença	desejo, vontade.	<def> querença </def> 	pt.defmod.62763	Dicio
seq2seq_def	paládio	objeto sagrado ao qual era confiada a defesa de uma cidade ou país.	<def> paládio </def> 	pt.defmod.62764	Dicio
seq2seq_def	astrolábio	instrumento antigo para medir a altura dos astros acima do horizonte . 	<def> astrolábio </def> 	pt.defmod.62765	Wikcionário
seq2seq_def	quadrimestral	cuja realização se dá ao longo de quatro meses.	<def> quadrimestral </def> 	pt.defmod.62766	Dicio
seq2seq_def	taxonomia	ciência que se dedica à classificação; técnica de classificação, ou de distribuição sistemática em categorias: taxonomia gramatical.	<def> taxonomia </def> 	pt.defmod.62767	Dicio
seq2seq_def	unilateralismo	[figurado] ponto de vista de uma pessoa que, numa discussão, disputa etc., só defende um lado, uma parte.	<def> unilateralismo </def> 	pt.defmod.62768	Dicio
seq2seq_def	beta	[química] fluxo de elétrons emitidos por certos elementos radioativos.	<def> beta </def> 	pt.defmod.62769	Dicio
seq2seq_def	zigoto	célula diploide que resulta da união dos núcleos de duas células.	<def> zigoto </def> 	pt.defmod.62770	Dicio
seq2seq_def	fanático	[figurado] que se entusiasma exageradamente por; apaixonado, desvairado.	<def> fanático </def> 	pt.defmod.62771	Dicio
seq2seq_def	jeito	habilidade particular para fazer algo; destreza: desenvolve tudo com jeito.	<def> jeito </def> 	pt.defmod.62772	Dicio
seq2seq_def	bolo no estômago	sensação de enjoo; mal-estar . 	<def> bolo no estômago </def> 	pt.defmod.62773	Wikcionário
seq2seq_def	destrinchar	destrinçar; fazer a separação dos fios de: destrinchava o tabaco para o cigarro.	<def> destrinchar </def> 	pt.defmod.62774	Dicio
seq2seq_def	gratulação	ação de felicitar (parabenizar); felicitação.	<def> gratulação </def> 	pt.defmod.62775	Dicio
seq2seq_def	coleta	arrecadação; ação de cobrar imposto, renda; o valor desse imposto pago.	<def> coleta </def> 	pt.defmod.62776	Dicio
seq2seq_def	inquietude	ação de se preocupar com o que, normalmente, se encontra acima de seu entendimento; falta de satisfação intelectual.	<def> inquietude </def> 	pt.defmod.62777	Dicio
seq2seq_def	pleonasmo estilístico	pleonasmo usado como recurso literário, para enfatizar uma ideia em um texto . 	<def> pleonasmo estilístico </def> 	pt.defmod.62778	Wikcionário
seq2seq_def	consolai	segunda pessoa do plural do imperativo afirmativo do verbo consolar . 	<def> consolai </def> 	pt.defmod.62779	Wikcionário
seq2seq_def	duende	duende . 	<def> duende </def> 	pt.defmod.62780	Wikcionário
seq2seq_def	traçado	ação ou efeito de traçar (linhas, riscos etc.); traçamento, risco.	<def> traçado </def> 	pt.defmod.62781	Dicio
seq2seq_def	perversão	[medicina] alteração que, sendo de teor psíquico, perturba uma função normal.	<def> perversão </def> 	pt.defmod.62782	Dicio
seq2seq_def	insensata	que não possui bom senso; que age imponderada e desequilibradamente; imprudente: foi insensata e perdeu o emprego.	<def> insensata </def> 	pt.defmod.62783	Dicio
seq2seq_def	detrator	maledicente; quem fala mal de alguém ou espalha péssimas opiniões sobre essa pessoa.	<def> detrator </def> 	pt.defmod.62784	Dicio
seq2seq_def	suplementar	usar para acrescentar: os argumentos suplementaram o julgamento.	<def> suplementar </def> 	pt.defmod.62785	Dicio
seq2seq_def	sobre	relacionado com; de acordo com; conforme, segundo, consoante: a prefeitura criará um manual sobre os problemas do município.	<def> sobre </def> 	pt.defmod.62786	Dicio
seq2seq_def	por	demonstra uma relação de tempo; na etapa de: vai estudar por quatro meses.	<def> por </def> 	pt.defmod.62787	Dicio
seq2seq_def	loura	lousa, pedra . 	<def> loura </def> 	pt.defmod.62788	Wikcionário
seq2seq_def	desumano	moore é manipulador e não tem o menor respeito pelas pessoas, o que faz com que seu cinema seja tão desumano quanto o totalitarismo que ele quer combater.. 	<def> desumano </def> 	pt.defmod.62789	Wikcionário
seq2seq_def	tuberosidade	[anatomia] protuberância de um osso, à qual normalmente se prendem músculos ou ligamentos.	<def> tuberosidade </def> 	pt.defmod.62790	Dicio
seq2seq_def	coagular	solidificar(-se) (falando-se especialmente do sangue e do leite).	<def> coagular </def> 	pt.defmod.62791	Dicio
seq2seq_def	zigurate	torre gigantesca, de várias plataformas superpostas, dos templos caldeus e babilônicos, semelhante à de babel, a que se refere a bíblia, e cuja invenção é atribuída aos sumerianos.	<def> zigurate </def> 	pt.defmod.62792	Dicio
seq2seq_def	bagulho	vagens e outros restos das favas oude outros legumes logo de tiradas as sementes . 	<def> bagulho </def> 	pt.defmod.62793	Wikcionário
seq2seq_def	ademais	de modo a acrescentar algo ao que já foi mencionado, dito, feito; além disso: o evento conta com marionetes e, ademais, há espetáculos teatrais.	<def> ademais </def> 	pt.defmod.62794	Dicio
seq2seq_def	dilúvio	inundação; chuva muito intensa, abundante e permanente que causa enchentes ou alagações: a cidade foi destruída pelo dilúvio.	<def> dilúvio </def> 	pt.defmod.62795	Dicio
seq2seq_def	enia	etnia . 	<def> enia </def> 	pt.defmod.62796	Wikcionário
seq2seq_def	unicotiledôneo	[botânica] variação de monocotiledôneo.	<def> unicotiledôneo </def> 	pt.defmod.62797	Dicio
seq2seq_def	judaica	o mesmo que judiaga.	<def> judaica </def> 	pt.defmod.62798	Dicio
seq2seq_def	tepidez	[figurado] tibieza, frouxidão.	<def> tepidez </def> 	pt.defmod.62799	Dicio
seq2seq_def	umbroso	[figurado] sombrio, tenebroso, escuro.	<def> umbroso </def> 	pt.defmod.62800	Dicio
seq2seq_def	restrição	ação ou efeito de restringir, de impor limites a alguém ou a si próprio.	<def> restrição </def> 	pt.defmod.62801	Dicio
seq2seq_def	comissionado	[militar] diz-se do militar mantido nas fileiras em virtude de uma comissão, ou provisoriamente promovido em consequência de uma situação de emergência.	<def> comissionado </def> 	pt.defmod.62802	Dicio
seq2seq_def	laicismo	condição ou particularidade do que é laico.	<def> laicismo </def> 	pt.defmod.62803	Dicio
seq2seq_def	articular	suceder-se numa ordem crescente: as partes de uma exposição que se articulam bem.	<def> articular </def> 	pt.defmod.62804	Dicio
seq2seq_def	reverso	conjunto de circunstâncias de caráter contrário ao que se espera, ou se analisa: o reverso da questão.	<def> reverso </def> 	pt.defmod.62805	Dicio
seq2seq_def	humorado	[fisiologia] que tem humores, fluidos corporais como o sangue, a linfa e a bile; humoroso.	<def> humorado </def> 	pt.defmod.62806	Dicio
seq2seq_def	lâmpada	utensílio destinado a produzir luz e que serve para iluminar.	<def> lâmpada </def> 	pt.defmod.62807	Dicio
seq2seq_def	proficiência	exame de proficiência. exame, ou prova, realizado com o intuito de determinar o conhecimento de alguém em relação a alguma coisa.	<def> proficiência </def> 	pt.defmod.62808	Dicio
seq2seq_def	atrofia	atrofia . 	<def> atrofia </def> 	pt.defmod.62809	Wikcionário
seq2seq_def	bolado	que se bolou; que foi idealizado, concebido, planejado: plano bem bolado.	<def> bolado </def> 	pt.defmod.62810	Dicio
seq2seq_def	devagar	de modo suave, delicado, harmônico; suavemente: o médico aplicou o remédio bem devagar.	<def> devagar </def> 	pt.defmod.62811	Dicio
seq2seq_def	aéreo	relativo à aviação: ataque aéreo; base aérea.	<def> aéreo </def> 	pt.defmod.62812	Dicio
seq2seq_def	caixa	[mecânica] caixa de eixo. dispositivo que recebe a extremidade do eixo de um vagão de estrada de ferro para lubrificação.	<def> caixa </def> 	pt.defmod.62813	Dicio
seq2seq_def	protagonismo	característica do personagem principal, mais importante: protagonismo literário, artístico, televisivo, cinematográfico.	<def> protagonismo </def> 	pt.defmod.62814	Dicio
seq2seq_def	batel	embarcação de pesca; barco que transporta peixes já pescados.	<def> batel </def> 	pt.defmod.62815	Dicio
seq2seq_def	lite	[antigo] o mesmo que lide. cf. viriato trág., iv, 13.	<def> lite </def> 	pt.defmod.62816	Dicio
seq2seq_def	fracassar	o atleta fracassou (na tentativa de bater novo recorde) . 	<def> fracassar </def> 	pt.defmod.62817	Wikcionário
seq2seq_def	benefício	ação que se faz com o intuito de melhorar algo e os resultados dessa ação; benfeitoria: comprei o carro pelos benefícios.	<def> benefício </def> 	pt.defmod.62818	Dicio
seq2seq_def	subvencione	terceira pessoa do singular do imperativo afirmativo do verbo subvencionar . 	<def> subvencione </def> 	pt.defmod.62819	Wikcionário
seq2seq_def	imprevisto	que não se pode prever; sem previsão; que não foi previsto; casual ou inesperado: sucesso imprevisto.	<def> imprevisto </def> 	pt.defmod.62820	Dicio
seq2seq_def	graduar	guardar . 	<def> graduar </def> 	pt.defmod.62821	Wikcionário
seq2seq_def	utopia	utopia . 	<def> utopia </def> 	pt.defmod.62822	Wikcionário
seq2seq_def	saiba	ação de suspeitar com alguma certeza sobre; de afirmar algo novo para: quero que você saiba: eu te amo!	<def> saiba </def> 	pt.defmod.62823	Dicio
seq2seq_def	contratempo	[audiovisual] o intervalo de tempo que ocorre entre as falas dos atores que estão em cena . 	<def> contratempo </def> 	pt.defmod.62824	Wikcionário
seq2seq_def	remedar	contrafazer . 	<def> remedar </def> 	pt.defmod.62825	Wikcionário
seq2seq_def	mocho	ave de rapina noturna da família dos bubonídeos; coruja, pássaro-da-morte.	<def> mocho </def> 	pt.defmod.62826	Dicio
seq2seq_def	ditado	que tem teor de prescrição, regra; prescrito, imposto, determinado: preceitos ditados pela igreja.	<def> ditado </def> 	pt.defmod.62827	Dicio
seq2seq_def	ciclo	ciclo solar. período de 28 anos, no fim do qual o ano recomeça com o mesmo dia da semana na mesma data do mês.	<def> ciclo </def> 	pt.defmod.62828	Dicio
seq2seq_def	opinar	dar uma opinião; expressar um ponto de vista ou dizer exatamente o que se pensa sobre algo ou alguém; julgar: opinar sobre a guerra na síria; sobre seu divórcio, não sou capaz de opinar.	<def> opinar </def> 	pt.defmod.62829	Dicio
seq2seq_def	beber os ares por	amar apaixonadamente . 	<def> beber os ares por </def> 	pt.defmod.62830	Wikcionário
seq2seq_def	hemisfério	[anatomia] cada uma das duas metades do cérebro.	<def> hemisfério </def> 	pt.defmod.62831	Dicio
seq2seq_def	impune	que se livrou do castigo; que não sofreu repressão; que não se pode reprimir.	<def> impune </def> 	pt.defmod.62832	Dicio
seq2seq_def	pretendente	que demonstra um interesse por alguém.	<def> pretendente </def> 	pt.defmod.62833	Dicio
seq2seq_def	sobre	expressa uma relação de influência ou de dominância: era um presidente que exercia poder sobre a população.	<def> sobre </def> 	pt.defmod.62834	Dicio
seq2seq_def	canibal	[figurado] indivíduo muito bárbaro, cruel, vil.	<def> canibal </def> 	pt.defmod.62835	Dicio
seq2seq_def	histérico	[popular] sujeito histérico.	<def> histérico </def> 	pt.defmod.62836	Dicio
seq2seq_def	gongórico	relacionado com o estilo literário barroco cujo maior representante é luís de góngora y argote (1561-1627), poeta espanhol, conhecido pela utilização de palavras muito eruditas, pela excesso de figuras de linguagem e pela afetação exagerada.	<def> gongórico </def> 	pt.defmod.62837	Dicio
seq2seq_def	março	roçam . 	<def> março </def> 	pt.defmod.62838	Wikcionário
seq2seq_def	tolhido	que teve seu espaço invadido; completamente acometido por; tomado: sentia-se tolhido de pavor diante do assaltante.	<def> tolhido </def> 	pt.defmod.62839	Dicio
seq2seq_def	quadrimotor	aeronáutica. aeronave provida de quatro motores.	<def> quadrimotor </def> 	pt.defmod.62840	Dicio
seq2seq_def	suprimento	ação ou efeito de suprir, adicionar, acrescentar; adição.	<def> suprimento </def> 	pt.defmod.62841	Dicio
seq2seq_def	hit	o que faz sucesso; o que é moda.	<def> hit </def> 	pt.defmod.62842	Dicio
seq2seq_def	parar	apostar: parou vinte fichas no valete.	<def> parar </def> 	pt.defmod.62843	Dicio
seq2seq_def	hálux	[biologia] dedo grande do pé.	<def> hálux </def> 	pt.defmod.62844	Dicio
seq2seq_def	descobrir	demonstrar algo; manifestar-se: seu sofrimento se descobria em seu rosto cansado.	<def> descobrir </def> 	pt.defmod.62845	Dicio
seq2seq_def	necessitar	tornar essencial: necessitava bons profissionais.	<def> necessitar </def> 	pt.defmod.62846	Dicio
seq2seq_def	login	modo de ligação a uma rede protegida que dá acesso ao usuário a um sistema informático, por meio da introdução de uma identidade e senha.	<def> login </def> 	pt.defmod.62847	Dicio
seq2seq_def	ir	ser influenciado por: foi na conversa do chefe.	<def> ir </def> 	pt.defmod.62848	Dicio
seq2seq_def	cerrado	encerrado, vedado, fechado: porta cerrada.	<def> cerrado </def> 	pt.defmod.62849	Dicio
seq2seq_def	mandrião	animador . 	<def> mandrião </def> 	pt.defmod.62850	Wikcionário
seq2seq_def	usurpadora	qualidade do que ou de quem usurpa, engana ou se apodera do que não lhe pertence.	<def> usurpadora </def> 	pt.defmod.62851	Dicio
seq2seq_def	demandar	pedir, reclamar, exigir ou conseguir algo por meio de uma solicitação, pedido: demandar melhores aposentadorias.	<def> demandar </def> 	pt.defmod.62852	Dicio
seq2seq_def	lambida	[figurado] ato de bajular, de adular, lisonja.	<def> lambida </def> 	pt.defmod.62853	Dicio
seq2seq_def	regaço	[figurado] o que está entre ou no interior de; meio ou interior: no regaço das campinas.	<def> regaço </def> 	pt.defmod.62854	Dicio
seq2seq_def	alisado	alísio, aliseu.	<def> alisado </def> 	pt.defmod.62855	Dicio
seq2seq_def	giesta	cerca de 100 espécies crescem na europa, ásia e áfrica. a espécie cultivada no brasil é a giesta-das-vassouras ou giesteira-das-vassouras, originária da europa. a casca de seus ramos produz uma fibra aproveitada na fabricação de vassouras. as flores amarelas têm o formato de borboletas. o fruto é uma vagem que contém uma ou mais sementes. a casa real inglesa dos plantagenetas recebeu seu nome das palavras latinas planta genista, que significam raminho de giesta.	<def> giesta </def> 	pt.defmod.62856	Dicio
seq2seq_def	bufo	[ornitologia] ave da família das estrígidas . 	<def> bufo </def> 	pt.defmod.62857	Wikcionário
seq2seq_def	empatia	empatia . 	<def> empatia </def> 	pt.defmod.62858	Wikcionário
seq2seq_def	diga-me com quem andas e eu te direi quem és	(brasil e popular) expressão que indica que pode-se saber as qualidades de uma pessoa pela companhia que ela mantém . 	<def> diga-me com quem andas e eu te direi quem és </def> 	pt.defmod.62859	Wikcionário
seq2seq_def	lema	[figurado] regra ou norma escrita de procedimento; sentença.	<def> lema </def> 	pt.defmod.62860	Dicio
seq2seq_def	transpirar	[figurado] transparecer; fazer com que algo se torne claro; causar o surgimento de: transpirava inteligência.	<def> transpirar </def> 	pt.defmod.62861	Dicio
seq2seq_def	fumar	defumar; secar algo expondo-o à fumaça: fumava a carne.	<def> fumar </def> 	pt.defmod.62862	Dicio
seq2seq_def	traçar	expressar algo por esboços; esboçar: traçar o projeto do prédio.	<def> traçar </def> 	pt.defmod.62863	Dicio
seq2seq_def	situação	modo como certas coisas estão dispostas, quando comparadas com outras; disposição: o livro ficou em situação superior na prateleira.	<def> situação </def> 	pt.defmod.62864	Dicio
seq2seq_def	fotógrafo	pessoa que, amadora ou profissionalmente, se dedica à fotografia (processo de fixação em chapa sensível de objetos por meio de uma câmera).	<def> fotógrafo </def> 	pt.defmod.62865	Dicio
seq2seq_def	factual	que se pauta somente nos fatos, mas não procura compreendê-los e/ou interpretá-los.	<def> factual </def> 	pt.defmod.62866	Dicio
seq2seq_def	usuário	utente; usufrutuário . 	<def> usuário </def> 	pt.defmod.62867	Wikcionário
seq2seq_def	irreparável	cientistas respeitáveis, no entanto, alertavam que - mais alguns passos da humanidade na direção errada - a crise ecológica poderia ser irreparável.. 	<def> irreparável </def> 	pt.defmod.62868	Wikcionário
seq2seq_def	fazendeiro	trabalhador ou cultivador de fazendas.	<def> fazendeiro </def> 	pt.defmod.62869	Dicio
seq2seq_def	pátina	oxidação das tintas pela ação do tempo e sua gradual transformação pela luz.	<def> pátina </def> 	pt.defmod.62870	Dicio
seq2seq_def	broca	[antigo] botão . 	<def> broca </def> 	pt.defmod.62871	Wikcionário
seq2seq_def	mana	ocultismo. segundo os melanésios (nativos da melanésia), força sobrenatural que se concentra em objetos e/ou pessoas, adquirida ou herdada, e capaz de transmitir magia aos homens.	<def> mana </def> 	pt.defmod.62872	Dicio
seq2seq_def	líder	indivíduo que exerce influência no comportamento ou no modo de pensar de alguém.	<def> líder </def> 	pt.defmod.62873	Dicio
seq2seq_def	constante	[linguística] que não varia, falando de qualquer elemento linguístico; invariante.	<def> constante </def> 	pt.defmod.62874	Dicio
seq2seq_def	benzido	protegido; que recebeu uma graça divina; que tem a proteção de deus.	<def> benzido </def> 	pt.defmod.62875	Dicio
seq2seq_def	forjado	característica do que se forjou, do que foi moldado em forja para adquirir um determinado aspecto ou uma determinada forma.	<def> forjado </def> 	pt.defmod.62876	Dicio
seq2seq_def	susceptibilidade	tendência para se sentir ofendido(a) com; disposição para se ressentir de coisas sem significância; delicadeza: qualquer crítica ofende a (sua) susceptibilidade.	<def> susceptibilidade </def> 	pt.defmod.62877	Dicio
seq2seq_def	estacionar	colocar no estacionamento (um veículo).	<def> estacionar </def> 	pt.defmod.62878	Dicio
seq2seq_def	zelador	responsável por fazer a fiscalização de algum lugar, prédio, estabelecimento ou serviço.	<def> zelador </def> 	pt.defmod.62879	Dicio
seq2seq_def	excomungar	[figurado] isolar alguém do convívio com outras pessoas; retirar de um grupo: alguns roqueiros excomungaram os sertanejos.	<def> excomungar </def> 	pt.defmod.62880	Dicio
seq2seq_def	ordenar	[religião] segundo o catolicismo, conferir ordens sacras: ordenar os coroinhas; ordenou-se padre.	<def> ordenar </def> 	pt.defmod.62881	Dicio
seq2seq_def	granular	que se compõe de pequenos grãos: rocha granular.	<def> granular </def> 	pt.defmod.62882	Dicio
seq2seq_def	bico	bico do candeeiro, extremo do canal por onde sai a torcida.	<def> bico </def> 	pt.defmod.62883	Dicio
seq2seq_def	soslaio	de um modo oblíquo; de viés: olhava de soslaio a vizinha.	<def> soslaio </def> 	pt.defmod.62884	Dicio
seq2seq_def	biótico	relativo à vida.	<def> biótico </def> 	pt.defmod.62885	Dicio
seq2seq_def	detonar	rodante . 	<def> detonar </def> 	pt.defmod.62886	Wikcionário
seq2seq_def	evidência	estado da coisa que se sobressai em relação às demais; destaque: ator em evidência; produto em evidência.	<def> evidência </def> 	pt.defmod.62887	Dicio
seq2seq_def	pendular	pendular . 	<def> pendular </def> 	pt.defmod.62888	Wikcionário
